Generation,Individual,WalkingTime,ExposureTime
0,177,6872,Z->E->J->O->T->Y->K->U->N->V->H->D->I->F->M->W->S->G->X->R->L->B->Q->P->C->A,ZgZg
0,177,6872,Z->E->J->O->T->Y->K->U->N->V->H->D->I->F->M->W->S->G->X->R->L->B->Q->P->C->A,ZgZg
0,177,6872,Z->E->J->O->T->Y->K->U->N->V->H->D->I->F->M->W->S->G->X->R->L->B->Q->P->C->A,ZgZg
0,177,6872,Z->E->J->O->T->Y->K->U->N->V->H->D->I->F->M->W->S->G->X->R->L->B->Q->P->C->A,ZgZg
0,177,6872,Z->E->J->O->T->Y->K->U->N->V->H->D->I->F->M->W->S->G->X->R->L->B->Q->P->C->A,ZgZg
0,177,6872,Z->E->J->O->T->Y->K->U->N->V->H->D->I->F->M->W->S->G->X->R->L->B->Q->P->C->A,ZgZg
0,177,6872,Z->E->J->O->T->Y->K->U->N->V->H->D->I->F->M->W->S->G->X->R->L->B->Q->P->C->A,ZgZg
0,177,6872,Z->E->J->O->T->Y->K->U->N->V->H->D->I->F->M->W->S->G->X->R->L->B->Q->P->C->A,ZgZg
0,177,6872,Z->E->J->O->T->Y->K->U->N->V->H->D->I->F->M->W->S->G->X->R->L->B->Q->P->C->A,ZgZg
0,177,6872,Z->E->J->O->T->Y->K->U->N->V->H->D->I->F->M->W->S->G->X->R->L->B->Q->P->C->A,ZgZg
0,177,6872,Z->E->J->O->T->Y->K->U->N->V->H->D->I->F->M->W->S->G->X->R->L->B->Q->P->C->A,ZgZg
0,177,6872,Z->E->J->O->T->Y->K->U->N->V->H->D->I->F->M->W->S->G->X->R->L->B->Q->P->C->A,ZgZg
0,177,6872,Z->E->J->O->T->Y->K->U->N->V->H->D->I->F->M->W->S->G->X->R->L->B->Q->P->C->A,ZgZg
0,177,6872,Z->E->J->O->T->Y->K->U->N->V->H->D->I->F->M->W->S->G->X->R->L->B->Q->P->C->A,ZgZg
